Grid_Number,school
0,1.0
1,2.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,1.0
8,0.0
9,3.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.0
16,3.0
17,2.0
18,0.0
19,14.0
20,6.0
21,6.0
22,6.0
23,0.0
24,1.0
25,19.0
26,9.0
27,12.0
28,6.0
29,9.0
30,9.0
31,5.0
32,13.0
33,10.0
34,6.0
35,4.0
36,0.0
37,2.0
38,18.0
39,14.0
40,23.0
41,19.0
42,3.0
43,0.0
44,5.0
45,16.0
46,14.0
47,16.0
48,21.0
49,9.0
50,11.0
51,15.0
52,21.0
53,8.0
54,25.0
55,3.0
56,0.0
57,2.0
58,21.0
59,7.0
60,7.0
61,10.0
62,11.0
63,17.0
64,2.0
65,5.0
66,15.0
67,19.0
68,10.0
69,3.0
70,12.0
71,19.0
72,3.0
73,6.0
74,1.0
75,1.0
76,12.0
77,21.0
78,6.0
79,18.0
80,19.0
81,19.0
82,11.0
83,16.0
84,13.0
85,11.0
86,17.0
87,3.0
88,9.0
89,20.0
90,14.0
91,12.0
92,25.0
93,17.0
94,1.0
95,7.0
96,21.0
97,23.0
98,7.0
99,30.0
100,5.0
101,3.0
102,15.0
103,15.0
104,12.0
105,13.0
106,5.0
107,10.0
108,17.0
109,6.0
110,8.0
111,13.0
112,9.0
113,0.0
114,0.0
115,6.0
116,18.0
117,8.0
118,3.0
119,7.0
120,9.0
121,20.0
122,5.0
123,9.0
124,14.0
125,14.0
126,12.0
127,11.0
128,19.0
129,13.0
130,11.0
131,15.0
132,1.0
133,11.0
134,7.0
135,5.0
136,18.0
137,9.0
138,6.0
139,4.0
140,6.0
141,13.0
142,11.0
143,16.0
144,13.0
145,11.0
146,10.0
147,14.0
148,5.0
149,13.0
150,3.0
151,1.0
152,16.0
153,20.0
154,11.0
155,20.0
156,12.0
157,26.0
158,23.0
159,12.0
160,7.0
161,13.0
162,12.0
163,14.0
164,6.0
165,13.0
166,6.0
167,8.0
168,19.0
169,5.0
170,1.0
171,17.0
172,17.0
173,16.0
174,9.0
175,11.0
176,12.0
177,8.0
178,12.0
179,16.0
180,8.0
181,13.0
182,6.0
183,5.0
184,15.0
185,14.0
186,3.0
187,10.0
188,12.0
189,1.0
190,5.0
191,11.0
192,9.0
193,11.0
194,19.0
195,14.0
196,8.0
197,26.0
198,19.0
199,12.0
200,11.0
201,5.0
202,5.0
203,14.0
204,8.0
205,7.0
206,9.0
207,11.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,4.0
214,7.0
215,2.0
216,23.0
217,39.0
218,7.0
219,22.0
220,15.0
221,7.0
222,17.0
223,16.0
224,3.0
225,11.0
226,6.0
227,1.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.0
238,0.0
239,5.0
240,1.0
241,13.0
242,29.0
243,8.0
244,11.0
245,4.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,1.0
261,18.0
262,12.0
263,33.0
264,14.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,1.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
