Grid_Number,local_government_office
615,0.0
616,4.0
617,2.0
657,2.0
658,1.0
665,3.0
666,0.0
705,1.0
706,2.0
707,6.0
714,0.0
754,0.0
755,2.0
756,0.0
763,0.0
803,0.0
804,0.0
805,2.0
806,1.0
812,1.0
813,1.0
852,1.0
854,2.0
855,1.0
856,1.0
861,1.0
866,2.0
903,0.0
904,0.0
905,0.0
908,0.0
910,2.0
948,3.0
951,2.0
952,6.0
953,3.0
954,0.0
955,0.0
958,0.0
959,1.0
960,0.0
961,1.0
964,0.0
999,3.0
1000,2.0
1001,14.0
1002,8.0
1003,6.0
1004,2.0
1005,0.0
1007,1.0
1008,0.0
1009,1.0
1010,1.0
1011,2.0
1013,1.0
1019,2.0
1020,1.0
1043,0.0
1044,0.0
1045,3.0
1048,15.0
1049,1.0
1050,9.0
1051,13.0
1052,4.0
1053,2.0
1054,0.0
1055,1.0
1056,2.0
1057,0.0
1058,4.0
1059,2.0
1061,2.0
1065,1.0
1066,0.0
1067,0.0
1068,0.0
1069,1.0
1091,3.0
1092,0.0
1093,2.0
1094,4.0
1096,6.0
1098,6.0
1099,6.0
1100,10.0
1101,2.0
1102,0.0
1103,0.0
1104,3.0
1105,2.0
1106,0.0
1107,1.0
1108,4.0
1109,0.0
1110,0.0
1111,2.0
1114,0.0
1115,0.0
1116,1.0
1117,1.0
1118,2.0
1141,0.0
1142,0.0
1143,1.0
1144,1.0
1145,6.0
1146,1.0
1147,2.0
1148,4.0
1149,10.0
1150,2.0
1151,2.0
1152,0.0
1153,0.0
1154,8.0
1155,8.0
1156,4.0
1157,1.0
1158,2.0
1159,1.0
1160,1.0
1165,0.0
1166,0.0
1167,0.0
1188,1.0
1190,0.0
1191,1.0
1192,0.0
1193,3.0
1194,10.0
1195,6.0
1196,5.0
1197,6.0
1198,11.0
1199,8.0
1200,2.0
1202,1.0
1203,1.0
1204,3.0
1205,0.0
1206,5.0
1207,6.0
1208,1.0
1209,0.0
1211,1.0
1213,0.0
1215,1.0
1216,2.0
1220,0.0
1236,3.0
1237,3.0
1238,1.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,3.0
1244,10.0
1245,9.0
1246,7.0
1247,27.0
1248,18.0
1249,2.0
1250,1.0
1251,3.0
1252,2.0
1253,0.0
1254,4.0
1255,4.0
1256,4.0
1257,6.0
1258,1.0
1259,0.0
1267,0.0
1268,0.0
1269,2.0
1270,2.0
1287,2.0
1288,0.0
1289,0.0
1290,0.0
1292,1.0
1293,4.0
1294,9.0
1295,7.0
1296,2.0
1297,17.0
1298,5.0
1299,4.0
1300,1.0
1301,3.0
1302,4.0
1303,3.0
1304,6.0
1305,5.0
1306,2.0
1307,0.0
1308,2.0
1309,0.0
1315,0.0
1316,0.0
1317,2.0
1318,1.0
1319,2.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1342,1.0
1343,5.0
1344,3.0
1345,3.0
1346,6.0
1347,7.0
1348,4.0
1349,8.0
1350,2.0
1351,1.0
1352,6.0
1353,12.0
1354,12.0
1355,3.0
1356,1.0
1357,0.0
1358,1.0
1364,0.0
1365,1.0
1366,0.0
1367,0.0
1368,0.0
1385,0.0
1386,1.0
1387,0.0
1388,0.0
1389,1.0
1393,1.0
1394,3.0
1395,4.0
1396,7.0
1397,3.0
1398,5.0
1399,3.0
1401,9.0
1402,11.0
1403,9.0
1405,7.0
1406,1.0
1409,1.0
1413,0.0
1415,0.0
1416,0.0
1417,0.0
1428,2.0
1435,7.0
1436,1.0
1437,3.0
1443,0.0
1444,2.0
1445,12.0
1446,8.0
1447,5.0
1448,2.0
1449,7.0
1450,3.0
1451,15.0
1452,10.0
1453,1.0
1454,3.0
1455,0.0
1458,0.0
1461,0.0
1462,0.0
1464,0.0
1465,0.0
1466,1.0
1467,3.0
1477,4.0
1484,4.0
1492,7.0
1493,5.0
1494,5.0
1495,8.0
1496,4.0
1497,1.0
1498,12.0
1499,9.0
1500,30.0
1501,9.0
1502,0.0
1503,7.0
1504,3.0
1505,0.0
1506,1.0
1507,1.0
1508,0.0
1509,2.0
1510,0.0
1511,0.0
1528,1.0
1541,3.0
1542,4.0
1543,1.0
1544,9.0
1545,10.0
1546,1.0
1547,3.0
1548,7.0
1549,3.0
1550,5.0
1551,3.0
1552,4.0
1553,3.0
1554,2.0
1555,0.0
1556,3.0
1557,0.0
1558,0.0
1559,0.0
1560,1.0
1593,5.0
1594,4.0
1595,4.0
1596,6.0
1597,19.0
1598,2.0
1599,5.0
1600,1.0
1601,11.0
1602,3.0
1603,5.0
1604,2.0
1641,7.0
1642,6.0
1643,6.0
1644,6.0
1645,2.0
1646,9.0
1647,8.0
1648,2.0
1649,8.0
1650,6.0
1651,0.0
1652,1.0
1653,0.0
1677,3.0
1678,5.0
1681,8.0
1690,15.0
1691,0.0
1692,6.0
1693,3.0
1694,4.0
1695,4.0
1696,7.0
1697,17.0
1698,4.0
1699,4.0
1700,0.0
1701,0.0
1702,3.0
1703,2.0
1720,1.0
1721,1.0
1724,2.0
1725,3.0
1731,20.0
1739,9.0
1740,7.0
1741,4.0
1742,14.0
1743,0.0
1744,4.0
1745,5.0
1746,2.0
1747,1.0
1748,3.0
1749,2.0
1750,1.0
1751,1.0
1773,1.0
1774,0.0
1780,5.0
1788,8.0
1789,9.0
1790,3.0
1791,2.0
1792,4.0
1793,3.0
1794,2.0
1796,0.0
1797,6.0
1798,5.0
1799,4.0
1800,0.0
1824,3.0
1826,8.0
1828,10.0
1829,5.0
1837,4.0
1838,8.0
1839,2.0
1840,6.0
1841,6.0
1842,6.0
1843,6.0
1844,6.0
1845,0.0
1846,2.0
1847,4.0
1848,3.0
1874,10.0
1875,13.0
1878,4.0
1879,4.0
1885,13.0
1886,9.0
1887,10.0
1888,21.0
1892,5.0
1893,6.0
1894,3.0
1895,0.0
1918,0.0
1920,3.0
1921,3.0
1924,8.0
1927,8.0
1928,7.0
1934,11.0
1935,12.0
1936,16.0
1937,18.0
1940,2.0
1941,3.0
1942,3.0
1943,2.0
1964,0.0
1969,2.0
1970,8.0
1971,4.0
1972,6.0
1974,6.0
1975,8.0
1976,10.0
1977,7.0
1978,7.0
1983,7.0
1984,14.0
1985,13.0
1986,10.0
2018,0.0
2019,7.0
2022,1.0
2023,5.0
2024,13.0
2025,15.0
2026,4.0
2027,10.0
2030,2.0
2031,18.0
2033,14.0
2040,1.0
2041,1.0
2068,3.0
2070,7.0
2071,3.0
2072,25.0
2073,9.0
2074,5.0
2075,9.0
2076,5.0
2077,1.0
2084,1.0
2085,3.0
2086,3.0
2087,5.0
2088,3.0
2089,2.0
2090,1.0
2091,2.0
2118,0.0
2119,1.0
2120,19.0
2122,4.0
2123,10.0
2124,8.0
2125,6.0
2132,3.0
2133,2.0
2134,1.0
2135,6.0
2136,3.0
2137,6.0
2138,1.0
2139,3.0
2140,4.0
2167,0.0
2168,14.0
2169,10.0
2170,3.0
2171,5.0
2172,10.0
2177,2.0
2178,11.0
2179,26.0
2180,6.0
2181,8.0
2182,5.0
2183,3.0
2184,5.0
2185,5.0
2186,11.0
2187,5.0
2188,2.0
2189,1.0
2215,3.0
2216,2.0
2217,5.0
2218,4.0
2220,1.0
2221,14.0
2226,7.0
2227,6.0
2228,23.0
2229,5.0
2230,4.0
2231,6.0
2232,6.0
2233,5.0
2234,1.0
2235,6.0
2236,2.0
2263,7.0
2264,2.0
2265,3.0
2266,1.0
2267,4.0
2268,5.0
2269,4.0
2274,12.0
2275,4.0
2276,7.0
2277,9.0
2278,5.0
2279,10.0
2280,7.0
2281,6.0
2282,10.0
2283,4.0
2284,6.0
2312,5.0
2313,1.0
2314,1.0
2315,1.0
2316,2.0
2317,4.0
2323,7.0
2324,4.0
2325,11.0
2326,6.0
2327,3.0
2328,9.0
2329,2.0
2330,4.0
2331,1.0
2332,4.0
2333,2.0
2334,1.0
2362,6.0
2364,1.0
2365,0.0
2372,1.0
2373,4.0
2374,4.0
2375,2.0
2377,2.0
2378,4.0
2379,2.0
2380,3.0
2381,4.0
2382,3.0
2383,0.0
2411,3.0
2412,0.0
2421,1.0
2422,3.0
2423,0.0
2471,5.0
2472,2.0
