Grid_Number,supermarket
615,1.0
616,1.0
617,5.0
657,3.0
658,2.0
665,2.0
666,1.0
705,3.0
706,5.0
707,2.0
714,3.0
754,6.0
755,11.0
756,11.0
763,2.0
803,9.0
804,6.0
805,10.0
806,1.0
812,1.0
813,3.0
852,10.0
854,4.0
855,8.0
856,5.0
861,1.0
866,3.0
903,8.0
904,12.0
905,10.0
908,2.0
910,1.0
948,8.0
951,5.0
952,18.0
953,9.0
954,14.0
955,10.0
958,2.0
959,3.0
960,1.0
961,2.0
964,4.0
999,3.0
1000,3.0
1001,13.0
1002,15.0
1003,12.0
1004,10.0
1005,1.0
1007,5.0
1008,9.0
1009,1.0
1010,1.0
1011,3.0
1013,7.0
1019,5.0
1020,3.0
1043,2.0
1044,4.0
1045,4.0
1048,12.0
1049,4.0
1050,13.0
1051,20.0
1052,9.0
1053,18.0
1054,3.0
1055,4.0
1056,2.0
1057,6.0
1058,10.0
1059,10.0
1061,2.0
1065,2.0
1066,3.0
1067,4.0
1068,3.0
1069,4.0
1091,3.0
1092,1.0
1093,3.0
1094,7.0
1096,4.0
1098,11.0
1099,21.0
1100,22.0
1101,5.0
1102,10.0
1103,4.0
1104,9.0
1105,5.0
1106,8.0
1107,11.0
1108,9.0
1109,4.0
1110,4.0
1111,3.0
1114,2.0
1115,2.0
1116,2.0
1117,2.0
1118,3.0
1141,1.0
1142,3.0
1143,4.0
1144,1.0
1145,6.0
1146,8.0
1147,13.0
1148,22.0
1149,13.0
1150,6.0
1151,5.0
1152,6.0
1153,7.0
1154,8.0
1155,12.0
1156,7.0
1157,11.0
1158,5.0
1159,8.0
1160,4.0
1165,3.0
1166,2.0
1167,1.0
1188,4.0
1190,1.0
1191,3.0
1192,1.0
1193,2.0
1194,9.0
1195,8.0
1196,11.0
1197,15.0
1198,11.0
1199,6.0
1200,6.0
1202,7.0
1203,8.0
1204,7.0
1205,8.0
1206,11.0
1207,8.0
1208,4.0
1209,3.0
1211,3.0
1213,1.0
1215,1.0
1216,2.0
1220,2.0
1236,4.0
1237,6.0
1238,6.0
1239,1.0
1240,2.0
1241,1.0
1242,4.0
1243,13.0
1244,8.0
1245,8.0
1246,10.0
1247,8.0
1248,12.0
1249,8.0
1250,6.0
1251,4.0
1252,5.0
1253,6.0
1254,6.0
1255,10.0
1256,9.0
1257,8.0
1258,3.0
1259,3.0
1267,4.0
1268,4.0
1269,7.0
1270,6.0
1287,6.0
1288,2.0
1289,2.0
1290,2.0
1292,4.0
1293,6.0
1294,12.0
1295,9.0
1296,6.0
1297,23.0
1298,6.0
1299,8.0
1300,8.0
1301,4.0
1302,6.0
1303,6.0
1304,13.0
1305,8.0
1306,5.0
1307,3.0
1308,7.0
1309,3.0
1315,3.0
1316,1.0
1317,3.0
1318,4.0
1319,6.0
1337,2.0
1338,1.0
1339,1.0
1340,3.0
1342,3.0
1343,9.0
1344,5.0
1345,2.0
1346,4.0
1347,7.0
1348,12.0
1349,7.0
1350,9.0
1351,4.0
1352,8.0
1353,12.0
1354,8.0
1355,1.0
1356,2.0
1357,2.0
1358,1.0
1364,1.0
1365,6.0
1366,5.0
1367,2.0
1368,3.0
1385,5.0
1386,1.0
1387,1.0
1388,1.0
1389,1.0
1393,6.0
1394,5.0
1395,5.0
1396,13.0
1397,13.0
1398,11.0
1399,8.0
1401,6.0
1402,10.0
1403,7.0
1405,13.0
1406,3.0
1409,4.0
1413,1.0
1415,3.0
1416,1.0
1417,1.0
1428,5.0
1435,8.0
1436,1.0
1437,1.0
1443,3.0
1444,6.0
1445,13.0
1446,3.0
1447,7.0
1448,2.0
1449,8.0
1450,11.0
1451,13.0
1452,5.0
1453,3.0
1454,18.0
1455,3.0
1458,2.0
1461,1.0
1462,1.0
1464,5.0
1465,3.0
1466,1.0
1467,6.0
1477,7.0
1484,5.0
1492,9.0
1493,9.0
1494,9.0
1495,5.0
1496,9.0
1497,4.0
1498,15.0
1499,11.0
1500,10.0
1501,10.0
1502,4.0
1503,8.0
1504,8.0
1505,5.0
1506,4.0
1507,5.0
1508,6.0
1509,7.0
1510,4.0
1511,3.0
1528,5.0
1541,7.0
1542,9.0
1543,4.0
1544,7.0
1545,8.0
1546,7.0
1547,4.0
1548,7.0
1549,11.0
1550,8.0
1551,4.0
1552,4.0
1553,8.0
1554,6.0
1555,4.0
1556,1.0
1557,1.0
1558,2.0
1559,1.0
1560,1.0
1593,8.0
1594,4.0
1595,8.0
1596,6.0
1597,9.0
1598,6.0
1599,7.0
1600,5.0
1601,2.0
1602,4.0
1603,5.0
1604,2.0
1641,7.0
1642,7.0
1643,9.0
1644,9.0
1645,2.0
1646,4.0
1647,6.0
1648,15.0
1649,14.0
1650,8.0
1651,5.0
1652,6.0
1653,2.0
1677,9.0
1678,10.0
1681,11.0
1690,6.0
1691,7.0
1692,12.0
1693,7.0
1694,5.0
1695,6.0
1696,8.0
1697,16.0
1698,9.0
1699,3.0
1700,4.0
1701,4.0
1702,5.0
1703,3.0
1720,3.0
1721,2.0
1724,17.0
1725,7.0
1731,7.0
1739,8.0
1740,18.0
1741,8.0
1742,6.0
1743,4.0
1744,6.0
1745,4.0
1746,3.0
1747,1.0
1748,3.0
1749,4.0
1750,5.0
1751,4.0
1773,10.0
1774,7.0
1780,14.0
1788,13.0
1789,23.0
1790,8.0
1791,7.0
1792,4.0
1793,6.0
1794,2.0
1796,1.0
1797,6.0
1798,10.0
1799,4.0
1800,3.0
1824,6.0
1826,5.0
1828,6.0
1829,7.0
1837,7.0
1838,19.0
1839,8.0
1840,11.0
1841,5.0
1842,6.0
1843,5.0
1844,5.0
1845,2.0
1846,4.0
1847,4.0
1848,4.0
1874,7.0
1875,12.0
1878,5.0
1879,8.0
1885,11.0
1886,11.0
1887,35.0
1888,17.0
1892,3.0
