Grid_Number,primary_school
0,0.0
1,1.0
2,1.0
3,1.0
4,0.0
5,0.0
6,0.0
7,1.0
8,1.0
9,1.0
10,1.0
11,3.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,0.0
19,3.0
20,2.0
21,2.0
22,2.0
23,1.0
24,1.0
25,2.0
26,2.0
27,2.0
28,2.0
29,3.0
30,3.0
31,3.0
32,2.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,3.0
46,4.0
47,5.0
48,5.0
49,5.0
50,4.0
51,4.0
52,5.0
53,0.0
54,3.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,3.0
63,3.0
64,3.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,1.0
75,1.0
76,1.0
77,1.0
78,1.0
79,2.0
80,3.0
81,4.0
82,5.0
83,5.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,3.0
90,3.0
91,2.0
92,2.0
93,2.0
94,2.0
95,2.0
96,3.0
97,3.0
98,0.0
99,0.0
100,4.0
101,0.0
102,0.0
103,3.0
104,1.0
105,1.0
106,0.0
107,0.0
108,0.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,2.0
115,3.0
116,4.0
117,6.0
118,6.0
119,6.0
120,6.0
121,0.0
122,5.0
123,5.0
124,4.0
125,2.0
126,2.0
127,2.0
128,2.0
129,3.0
130,2.0
131,3.0
132,4.0
133,4.0
134,4.0
135,4.0
136,4.0
137,0.0
138,3.0
139,2.0
140,0.0
141,0.0
142,0.0
143,0.0
144,2.0
145,2.0
146,1.0
147,1.0
148,2.0
149,2.0
150,2.0
151,5.0
152,6.0
153,6.0
154,6.0
155,6.0
156,0.0
157,6.0
158,5.0
159,3.0
160,2.0
161,2.0
162,2.0
163,3.0
164,3.0
165,3.0
166,3.0
167,4.0
168,4.0
169,4.0
170,4.0
171,4.0
172,4.0
173,3.0
174,3.0
175,0.0
176,0.0
177,0.0
178,2.0
179,2.0
180,2.0
181,1.0
182,1.0
183,2.0
184,2.0
185,2.0
186,5.0
187,6.0
188,6.0
189,6.0
190,6.0
191,0.0
192,6.0
193,6.0
194,3.0
195,2.0
196,2.0
197,3.0
198,3.0
199,4.0
200,4.0
201,5.0
202,6.0
203,4.0
204,4.0
205,4.0
206,4.0
207,4.0
208,3.0
209,3.0
210,0.0
211,0.0
212,2.0
213,2.0
214,2.0
215,2.0
216,2.0
217,1.0
218,2.0
219,2.0
220,3.0
221,3.0
222,5.0
223,6.0
224,6.0
225,6.0
226,0.0
227,6.0
228,5.0
229,2.0
230,2.0
231,3.0
232,3.0
233,4.0
234,3.0
235,3.0
236,5.0
237,6.0
238,6.0
239,4.0
240,4.0
241,4.0
242,3.0
243,3.0
244,3.0
245,0.0
246,2.0
247,2.0
248,2.0
249,2.0
250,2.0
251,2.0
252,1.0
253,2.0
254,2.0
255,3.0
256,3.0
257,4.0
258,5.0
259,5.0
260,6.0
261,0.0
262,4.0
263,3.0
264,2.0
265,2.0
266,3.0
267,4.0
268,4.0
269,3.0
270,3.0
271,4.0
272,6.0
273,0.0
274,7.0
275,5.0
276,4.0
277,5.0
278,4.0
279,3.0
280,2.0
281,2.0
282,2.0
283,2.0
284,2.0
285,2.0
286,2.0
287,1.0
288,1.0
289,2.0
290,3.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,2.0
297,3.0
298,3.0
299,2.0
300,3.0
301,3.0
302,4.0
303,3.0
304,3.0
305,3.0
306,3.0
307,7.0
308,7.0
309,6.0
310,5.0
311,7.0
312,7.0
313,6.0
314,4.0
315,2.0
316,2.0
317,3.0
318,3.0
319,3.0
320,3.0
321,3.0
322,1.0
323,1.0
324,1.0
325,3.0
326,3.0
327,3.0
328,3.0
329,3.0
330,3.0
331,2.0
332,2.0
333,3.0
334,2.0
335,3.0
336,4.0
337,3.0
338,3.0
339,3.0
340,3.0
341,4.0
342,5.0
343,7.0
344,6.0
345,7.0
346,7.0
347,7.0
348,6.0
349,5.0
350,2.0
351,3.0
352,3.0
353,3.0
354,3.0
355,3.0
356,3.0
357,3.0
358,3.0
359,3.0
360,4.0
361,5.0
362,4.0
363,4.0
364,3.0
365,2.0
366,2.0
367,2.0
368,2.0
369,1.0
370,2.0
371,3.0
372,3.0
373,3.0
374,3.0
375,4.0
376,4.0
377,5.0
378,5.0
379,7.0
380,6.0
381,6.0
382,6.0
383,6.0
384,4.0
385,3.0
386,3.0
387,3.0
388,3.0
389,3.0
390,3.0
391,3.0
392,4.0
393,3.0
394,4.0
395,4.0
396,5.0
397,4.0
398,3.0
399,3.0
400,3.0
401,2.0
402,2.0
403,1.0
404,1.0
405,1.0
406,2.0
407,3.0
408,3.0
409,3.0
410,4.0
411,5.0
412,5.0
413,5.0
414,6.0
415,5.0
416,5.0
417,5.0
418,5.0
419,4.0
420,4.0
421,4.0
422,4.0
423,4.0
424,5.0
425,4.0
426,5.0
427,5.0
428,4.0
429,4.0
430,4.0
431,4.0
432,4.0
433,4.0
434,3.0
435,3.0
436,3.0
437,1.0
438,1.0
439,1.0
440,1.0
441,2.0
442,3.0
443,3.0
444,3.0
445,4.0
446,5.0
447,5.0
448,4.0
449,6.0
450,5.0
451,5.0
452,5.0
453,5.0
454,4.0
455,4.0
456,4.0
457,5.0
458,5.0
459,5.0
460,6.0
461,6.0
462,5.0
463,6.0
464,4.0
465,4.0
466,4.0
467,4.0
468,3.0
469,2.0
470,2.0
471,2.0
472,1.0
473,1.0
474,1.0
475,1.0
476,1.0
477,3.0
478,3.0
479,3.0
480,4.0
481,4.0
482,4.0
483,4.0
484,5.0
485,5.0
486,5.0
487,5.0
488,5.0
489,4.0
490,4.0
491,5.0
492,6.0
493,6.0
494,6.0
495,6.0
496,7.0
497,6.0
498,6.0
499,5.0
500,4.0
501,4.0
502,4.0
503,3.0
504,3.0
505,2.0
506,2.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,3.0
514,3.0
515,3.0
516,4.0
517,4.0
518,3.0
519,5.0
520,5.0
521,5.0
522,5.0
523,0.0
524,4.0
525,4.0
526,5.0
527,6.0
528,6.0
529,7.0
530,6.0
531,7.0
532,6.0
533,7.0
534,5.0
535,4.0
536,4.0
537,4.0
538,3.0
539,3.0
540,2.0
541,2.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,2.0
548,2.0
549,2.0
550,2.0
551,3.0
552,3.0
553,3.0
554,3.0
555,0.0
556,5.0
557,0.0
558,4.0
559,3.0
560,4.0
561,6.0
562,6.0
563,6.0
564,6.0
565,6.0
566,7.0
567,6.0
568,6.0
569,5.0
570,4.0
571,4.0
572,4.0
573,3.0
574,2.0
575,2.0
576,3.0
577,2.0
578,2.0
579,2.0
580,1.0
581,2.0
582,2.0
583,2.0
584,2.0
585,2.0
586,2.0
587,3.0
588,3.0
589,3.0
590,4.0
591,5.0
592,4.0
593,3.0
594,3.0
595,4.0
596,6.0
597,6.0
598,6.0
599,6.0
600,6.0
601,7.0
602,5.0
603,5.0
604,5.0
605,4.0
606,5.0
607,5.0
608,4.0
609,3.0
610,3.0
611,2.0
612,2.0
613,2.0
614,2.0
615,2.0
616,2.0
617,2.0
618,2.0
619,2.0
620,2.0
621,2.0
622,2.0
623,2.0
624,1.0
625,1.0
626,1.0
627,2.0
628,3.0
629,2.0
630,4.0
631,4.0
632,5.0
633,6.0
634,6.0
635,6.0
636,5.0
637,5.0
638,5.0
