Grid_Number,bus_station
0,4.0
1,5.0
2,9.0
3,15.0
4,17.0
5,24.0
6,29.0
7,33.0
8,32.0
9,28.0
10,28.0
11,34.0
12,23.0
13,22.0
14,27.0
15,25.0
16,27.0
17,21.0
18,19.0
19,7.0
20,8.0
21,9.0
22,16.0
23,28.0
24,36.0
25,32.0
26,36.0
27,38.0
28,40.0
29,43.0
30,0.0
31,37.0
32,28.0
33,34.0
34,39.0
35,35.0
36,31.0
37,21.0
38,9.0
39,9.0
40,11.0
41,21.0
42,32.0
43,36.0
44,37.0
45,41.0
46,41.0
47,0.0
48,0.0
49,0.0
50,55.0
51,45.0
52,44.0
53,48.0
54,45.0
55,40.0
56,25.0
57,9.0
58,10.0
59,12.0
60,23.0
61,36.0
62,38.0
63,43.0
64,43.0
65,3.0
66,0.0
67,0.0
68,0.0
69,62.0
70,57.0
71,55.0
72,51.0
73,45.0
74,43.0
75,36.0
76,13.0
77,13.0
78,15.0
79,21.0
80,38.0
81,0.0
82,1.0
83,2.0
84,3.0
85,59.0
86,0.0
87,73.0
88,69.0
89,67.0
90,63.0
91,51.0
92,50.0
93,47.0
94,33.0
95,15.0
96,18.0
97,21.0
98,23.0
99,32.0
100,38.0
101,0.0
102,0.0
103,0.0
104,0.0
105,5.0
106,75.0
107,73.0
108,66.0
109,65.0
110,48.0
111,47.0
112,45.0
113,34.0
114,16.0
115,19.0
116,21.0
117,30.0
118,27.0
119,37.0
120,0.0
121,0.0
122,0.0
123,0.0
124,2.0
125,0.0
126,78.0
127,75.0
128,71.0
129,60.0
130,47.0
131,39.0
132,34.0
133,17.0
134,17.0
135,0.0
136,0.0
137,0.0
138,0.0
139,1.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,1.0
148,68.0
149,56.0
150,41.0
151,33.0
152,17.0
153,0.0
154,1.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,1.0
163,0.0
164,3.0
165,97.0
166,85.0
167,0.0
168,57.0
169,43.0
170,37.0
171,14.0
172,1.0
173,22.0
174,1.0
175,1.0
176,0.0
177,2.0
178,0.0
179,0.0
180,3.0
181,2.0
182,1.0
183,109.0
184,99.0
185,85.0
186,0.0
187,60.0
188,0.0
189,27.0
190,15.0
191,18.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,1.0
199,5.0
200,0.0
201,0.0
202,2.0
203,93.0
204,0.0
205,2.0
206,57.0
207,37.0
208,26.0
209,15.0
210,17.0
211,25.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,1.0
219,2.0
220,0.0
221,1.0
222,0.0
223,0.0
224,2.0
225,45.0
226,40.0
227,30.0
228,13.0
229,17.0
230,27.0
231,29.0
232,35.0
233,1.0
234,1.0
235,0.0
236,1.0
237,0.0
238,2.0
239,2.0
240,0.0
241,3.0
242,5.0
243,1.0
244,44.0
245,37.0
246,29.0
247,11.0
248,20.0
249,20.0
250,23.0
251,27.0
252,34.0
253,0.0
254,1.0
255,1.0
256,0.0
257,1.0
258,3.0
259,1.0
260,0.0
261,0.0
262,0.0
263,42.0
264,31.0
265,28.0
266,4.0
267,13.0
268,17.0
269,21.0
270,25.0
271,27.0
272,33.0
273,45.0
274,48.0
275,55.0
276,52.0
277,52.0
278,46.0
279,49.0
280,45.0
281,1.0
282,35.0
283,25.0
284,17.0
285,3.0
286,7.0
287,15.0
288,18.0
289,21.0
290,23.0
291,26.0
292,30.0
293,37.0
294,41.0
295,35.0
296,34.0
297,36.0
298,37.0
299,39.0
300,36.0
301,26.0
302,21.0
303,13.0
